"id";"account_ref";"type";"num";"name";"exp_date";"card_account_number";"card_payment_system";"pan_encrypted";"pc_client_name";"card_product_ref"
169,0;127,0;"ZK_CHIP";"4276********1234";"Виза";01.11.2021 0:00:00;"";"VISA";null;"";138,0
205,0;204,0;"VPS";"__encrypted__";"";01.08.2018 0:00:00;"48900000000000035390";"VISA";null;"";138,0
